"Date","Price","Open","High","Low","Change %"
"Sep 17, 2019","6.3132","6.3038","6.3293","6.2797","0.16%"
"Sep 16, 2019","6.3030","6.2981","6.3594","6.2656","0.09%"
"Sep 13, 2019","6.2973","6.2512","6.3151","6.2484","0.63%"
"Sep 12, 2019","6.2579","6.3347","6.3619","6.1919","-1.17%"
"Sep 11, 2019","6.3323","6.3734","6.4041","6.3113","-0.59%"
"Sep 10, 2019","6.3701","6.3524","6.3941","6.3381","0.28%"
"Sep 09, 2019","6.3525","6.3022","6.3761","6.2783","0.77%"
"Sep 06, 2019","6.3037","6.2740","6.3288","6.2668","0.36%"
"Sep 05, 2019","6.2809","6.2598","6.3106","6.2255","0.43%"
"Sep 04, 2019","6.2541","6.2873","6.2941","6.1972","-0.53%"
"Sep 03, 2019","6.2873","6.3696","6.3781","6.2720","-1.28%"
"Sep 02, 2019","6.3689","6.4104","6.4218","6.3534","-0.62%"
"Aug 30, 2019","6.4084","6.4562","6.4609","6.3870","-0.76%"
"Aug 29, 2019","6.4573","6.4376","6.4810","6.4203","0.27%"
"Aug 28, 2019","6.4398","6.4599","6.4755","6.4108","-0.36%"
"Aug 27, 2019","6.4630","6.4676","6.5111","6.4325","-0.06%"
"Aug 26, 2019","6.4672","6.4252","6.5171","6.4234","0.75%"
"Aug 23, 2019","6.4191","6.3911","6.4343","6.3424","0.43%"
"Aug 22, 2019","6.3915","6.3296","6.4302","6.3277","0.87%"
"Aug 21, 2019","6.3364","6.3640","6.3760","6.3285","-0.36%"
"Aug 20, 2019","6.3594","6.2652","6.3766","6.2450","1.41%"
"Aug 19, 2019","6.2712","6.1956","6.3037","6.1696","1.37%"
"Aug 16, 2019","6.1866","6.1813","6.1978","6.1178","0.04%"
"Aug 15, 2019","6.1841","6.2535","6.2616","6.1716","-1.09%"
"Aug 14, 2019","6.2521","6.2117","6.2783","6.2057","0.61%"
"Aug 13, 2019","6.2141","6.2386","6.3285","6.1996","-0.40%"
"Aug 12, 2019","6.2389","6.1571","6.2505","6.1499","1.43%"
"Aug 09, 2019","6.1507","6.1156","6.1839","6.0924","0.42%"
"Aug 08, 2019","6.1249","6.1593","6.1859","6.1033","-0.45%"
"Aug 07, 2019","6.1525","6.1829","6.2075","6.1196","-0.50%"
"Aug 06, 2019","6.1833","6.2435","6.2923","6.1543","-0.93%"
"Aug 05, 2019","6.2415","6.1721","6.2592","6.1592","1.06%"
"Aug 02, 2019","6.1762","6.2108","6.2284","6.1547","-0.58%"
"Aug 01, 2019","6.2123","6.1895","6.2428","6.1337","0.40%"
"Jul 31, 2019","6.1875","6.1986","6.2270","6.1338","-0.23%"
"Jul 30, 2019","6.2019","6.2558","6.2707","6.1798","-0.89%"
"Jul 29, 2019","6.2575","6.3152","6.3175","6.2241","-0.85%"
"Jul 26, 2019","6.3110","6.3571","6.3618","6.2373","-0.72%"
"Jul 25, 2019","6.3568","6.3561","6.4244","6.2711","-0.04%"
"Jul 24, 2019","6.3593","6.3791","6.3914","6.3449","-0.28%"
"Jul 23, 2019","6.3770","6.3628","6.3830","6.3299","0.21%"
"Jul 22, 2019","6.3639","6.3439","6.3872","6.3181","0.28%"
"Jul 19, 2019","6.3461","6.3327","6.3736","6.3090","0.17%"
"Jul 18, 2019","6.3354","6.3810","6.4227","6.3033","-0.70%"
